rank,name,league_points,match_ids
63,Unknown,1177,"NA1_5269269295,NA1_5269223878,NA1_5268373768,NA1_5268360173,NA1_5268341241,NA1_5267955010,NA1_5267911727,NA1_5266589500,NA1_5265596971,NA1_5265578542"
64,Unknown,1176,"NA1_5269169912,NA1_5269094995,NA1_5269081050,NA1_5269063992,NA1_5269046066,NA1_5268428749,NA1_5268406927,NA1_5268388784,NA1_5268369087,NA1_5268349283"
65,Unknown,1175,"NA1_5269055956,NA1_5269033823,NA1_5268329001,NA1_5267685221,NA1_5266972155,NA1_5266201576,NA1_5265502232,NA1_5265493697,NA1_5265473148,NA1_5264982817"
66,Unknown,1171,"NA1_5269550971,NA1_5269415660,NA1_5269269295,NA1_5269224307,NA1_5268985574,NA1_5268969670,NA1_5268580278,NA1_5268537399,NA1_5268508004,NA1_5268466267"
67,Unknown,1170,"NA1_5265473148,NA1_5265464039,NA1_5265442631,NA1_5265436138,NA1_5265148505,NA1_5265106720,NA1_5263026051,NA1_5262987269,NA1_5262950638,NA1_5262190392"
68,Unknown,1170,"NA1_5269424352,NA1_5269397117,NA1_5269366931,NA1_5269223878,NA1_5269188181,NA1_5268744532,NA1_5268711549,NA1_5268665402,NA1_5268091097,NA1_5268057511"
69,Unknown,1166,"NA1_5268564398,NA1_5268533490,NA1_5268502196,NA1_5268466267,NA1_5267977084,NA1_5267948959,NA1_5267905188,NA1_5267876546,NA1_5267842815,NA1_5267821389"
70,Unknown,1165,"NA1_5265355437,NA1_5264653744,NA1_5264474698,NA1_5264453563,NA1_5264346543,NA1_5263968967,NA1_5263865822,NA1_5263100825,NA1_5263059476,NA1_5262197912"
71,Unknown,1162,"NA1_5262374661,NA1_5259397910,NA1_5259379070,NA1_5259343273,NA1_5259308320,NA1_5259273904,NA1_5259240397,NA1_5259197477,NA1_5257637448,NA1_5257623106"
72,Unknown,1162,"NA1_5268751361,NA1_5268721832,NA1_5268656571,NA1_5268373533,NA1_5268360173,NA1_5268332131,NA1_5267976026,NA1_5267709775,NA1_5267687558,NA1_5267008300"
73,Unknown,1155,"NA1_5268137708,NA1_5268119183,NA1_5260015244,NA1_5258599221,NA1_5258574729,NA1_5258542799,NA1_5258511850,NA1_5258474810,NA1_5258424702,NA1_5257892357"
74,Unknown,1147,"NA1_5267244886,NA1_5267204493,NA1_5267089150,NA1_5264876188,NA1_5264858502,NA1_5262755424,NA1_5262738887,NA1_5262713638,NA1_5262700981,NA1_5262119135"
75,Unknown,1146,"NA1_5269366931,NA1_5269344678,NA1_5269338899,NA1_5269298298,NA1_5269020358,NA1_5269003276,NA1_5268984097,NA1_5268969670,NA1_5268801033,NA1_5268786713"
76,Unknown,1146,"NA1_5269456439,NA1_5269415660,NA1_5268785281,NA1_5267776982,NA1_5267745354,NA1_5267126786,NA1_5267102160,NA1_5267081891,NA1_5264975575,NA1_5264944515"
77,Unknown,1144,"NA1_5268350261,NA1_5264837320,NA1_5264819085,NA1_5264678001,NA1_5264665277,NA1_5264653744,NA1_5264143337,NA1_5262087266,NA1_5262064504,NA1_5261785526"
78,Unknown,1138,"NA1_5269033823,NA1_5269012930,NA1_5268980138,NA1_5263480992,NA1_5263461025,NA1_5263444350,NA1_5263424182,NA1_5263408610,NA1_5263395141,NA1_5263385092"
79,Unknown,1136,"NA1_5260054178,NA1_5260016866,NA1_5259985766,NA1_5259945370,NA1_5259916996,NA1_5259889583,NA1_5259737639,NA1_5259712761,NA1_5259255612,NA1_5259222549"
80,Unknown,1134,"NA1_5268537399,NA1_5268478290,NA1_5268446983,NA1_5267168697,NA1_5267129585,NA1_5267102160,NA1_5265340059,NA1_5264968772,NA1_5263540971,NA1_5262221667"
81,Unknown,1126,"NA1_5269223878,NA1_5269196751,NA1_5269003276,NA1_5268984097,NA1_5268478290,NA1_5268447701,NA1_5268428749,NA1_5268286055,NA1_5268002790,NA1_5267970617"
82,Unknown,1124,"NA1_5269286759,NA1_5269177596,NA1_5268590848,NA1_5268533490,NA1_5267897822,NA1_5267300807,NA1_5267250820,NA1_5267108195,NA1_5267086981,NA1_5265817947"
83,Unknown,1123,"NA1_5269577361,NA1_5269569194,NA1_5269497710,NA1_5269231324,NA1_5269188181,NA1_5269157409,NA1_5269128503,NA1_5268967462,NA1_5268950511,NA1_5268898566"
84,Unknown,1120,"NA1_5269371561,NA1_5269316523,NA1_5267977084,NA1_5267093983,NA1_5266614359,NA1_5266576699,NA1_5265640137,NA1_5264145403,NA1_5260624547,NA1_5255146798"
85,Unknown,1119,"NA1_5269295604,NA1_5269269295,NA1_5269236626,NA1_5269205910,NA1_5269178745,NA1_5269148787,NA1_5269125144,NA1_5269093298,NA1_5269070478,NA1_5268622217"
86,Unknown,1117,"NA1_5269108952,NA1_5269081050,NA1_5267745354,NA1_5263075269,NA1_5260708690,NA1_5260672382,NA1_5260487153,NA1_5259810457,NA1_5259760843,NA1_5258542346"
87,Unknown,1117,"NA1_5268518642,NA1_5268498522,NA1_5268466267,NA1_5268440160,NA1_5268421063,NA1_5268388784,NA1_5268373768,NA1_5268360910,NA1_5267178965,NA1_5267154956"
88,Unknown,1116,"NA1_5268290891,NA1_5268275266,NA1_5267977084,NA1_5267936002,NA1_5267858848,NA1_5266559096,NA1_5266527800,NA1_5266474155,NA1_5265655696,NA1_5265640137"
89,Unknown,1116,"NA1_5268654809,NA1_5268314573,NA1_5268296732,NA1_5268254163,NA1_5268242035,NA1_5268229081,NA1_5268218905,NA1_5267873414,NA1_5265491453,NA1_5265473148"
90,Unknown,1114,"NA1_5263002417,NA1_5262957639,NA1_5262396878,NA1_5261033984,NA1_5261000469,NA1_5260949952,NA1_5260899069,NA1_5260870044,NA1_5260843916,NA1_5260186656"
